Dominican Republic,DOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.128906748
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.144747525
East Asia & Pacific (excluding high income),EAP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.905964443
Early-demographic dividend,EAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.01910782
East Asia & Pacific,EAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.629335017
Europe & Central Asia (excluding high income),ECA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.228299907
Europe & Central Asia,ECS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.368814379
Ecuador,ECU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.308289711
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.374299739
Euro area,EMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.441198787
Eritrea,ERI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.157706966
Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.866642426
Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,14.17976304
Ethiopia,ETH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.07382477
European Union,EUU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.281549193
Fragile and conflict affected situations,FCS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.913330587
Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.6587537
Fiji,FJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.349125859
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.350658925
Faroe Islands,FRO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
"Micronesia, Fed. Sts.",FSM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.068832835
Gabon,GAB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.936928084
United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.67592643
Georgia,GEO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.404919065
Ghana,GHA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.449966654
